"TU121: ACCOMMODATED TOURISTS by Indicator, Month and Year"

"Indicator","Month","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Accommodated tourists total","Ascending total",587897,745162,878749,971853,1118102,1226999,1401627,1473902,1922126,2072586,2259087,2343044,2377671,2147133,2401763,2725937,2839895,2980865,3087070,3112143,3324914,3544932,3591495,3789955,1972131,2138346,1341590
"Accommodated tourists total","January",27760,31068,41633,40816,49077,49843,55194,56849,77875,95141,108775,116406,119800,112803,123688,146290,153620,160229,170755,167375,178204,191899,205540,208405,223216,96229,157829
"Accommodated tourists total","February",32653,36407,45919,48167,51697,59554,70255,67539,89465,107975,117637,131840,142720,121442,124563,143131,152154,160995,178209,176512,183305,206710,209742,218936,232356,99757,169756
"Accommodated tourists total","March",36012,41447,51321,54712,61641,69040,88834,80325,102094,127305,140091,146912,154107,124941,138022,157406,181970,195364,194384,188161,212442,227912,239423,233384,89719,51185,192443
"Accommodated tourists total","April",42872,53229,64426,66903,83740,94493,105222,97674,126914,145169,158957,172696,162701,151635,171442,194432,205233,192148,209076,209396,226369,257403,250576,262149,12884,58928,236007
"Accommodated tourists total","May",61724,75564,85136,96987,106354,116385,132633,142784,173316,190092,194640,197623,224961,192097,214333,238579,248160,264122,274805,268580,279540,297029,303911,322059,37372,90007,248592
"Accommodated tourists total","June",63426,83699,98851,107962,130208,143904,165160,165738,220949,229757,253525,256842,260806,224217,251641,295066,302549,317579,337202,323486,345630,372448,372687,407092,163167,216226,336963
"Accommodated tourists total","July",74148,97184,126006,139642,156185,181405,216970,217170,306404,309498,330435,339256,349553,322470,358952,399681,405861,421275,440937,458782,487681,498181,502931,523645,346692,380716,..
"Accommodated tourists total","August",69409,88730,106521,112314,137529,152729,176918,194727,251181,264118,290953,302378,306017,277941,301010,342948,343416,384916,378254,393539,417242,435240,448125,487883,330587,341551,..
"Accommodated tourists total","September",51210,65276,72534,85126,98886,101299,114486,125486,158791,175693,189724,188947,176838,155264,185116,212901,222180,223398,233048,235271,256653,281389,276301,295464,153641,214455,..
"Accommodated tourists total","October",47475,61813,74379,80685,88800,91451,100268,120492,150401,156601,169059,168624,178756,174264,192155,214322,219722,229523,238234,250853,267297,270822,273780,288742,158009,227439,..
"Accommodated tourists total","November",43872,58915,58800,70267,80323,84558,90272,105470,129762,132534,148793,154315,153692,139402,164292,184165,195493,209516,214100,207006,215515,236050,234604,261857,118120,167264,..
"Accommodated tourists total","December",37336,51830,53223,68272,73662,82338,85415,99648,134974,138703,156498,167205,147720,150657,176549,197016,209537,221800,218066,233182,255036,269849,273875,280339,106368,194589,..
"Accommodated residents of Estonia","Ascending total",184929,204748,276555,268183,292820,318927,398244,416230,547712,619168,831504,962721,944325,766593,837811,918018,966376,1040735,1103755,1182979,1268388,1388785,1450960,1536526,1296065,1575563,779027
"Accommodated residents of Estonia","January",14708,14876,19461,17749,18327,20595,24781,24456,33920,38802,51629,58939,62626,50824,51566,57864,58849,63528,62851,74680,80012,86020,87315,94757,94809,85809,104438
"Accommodated residents of Estonia","February",15713,15481,21323,19806,19940,22327,26451,26692,36573,41887,55423,67259,71051,57967,55089,62730,66938,69572,76676,83996,87375,93840,94539,108322,111734,87240,109731
"Accommodated residents of Estonia","March",17858,14545,20002,20725,19438,23653,28122,26882,39026,42065,63505,69349,71516,56334,57203,66911,74143,78972,78153,82223,91504,101461,106755,109420,44566,42460,115843
"Accommodated residents of Estonia","April",13956,15705,20091,17950,19275,21612,26879,26492,33322,37857,52054,60661,61860,49738,56054,60235,61575,66637,69698,76728,86365,99979,100034,105940,11627,50226,130277
"Accommodated residents of Estonia","May",14822,16094,24142,22979,24862,23898,33187,31911,38504,43082,56706,67584,72974,57939,62596,67295,69011,73742,80731,85587,88659,100176,101735,110780,31977,75166,131679
"Accommodated residents of Estonia","June",17285,18635,29829,26636,33431,34911,43401,42557,61719,65197,83510,100295,95077,76039,84138,91341,97404,104710,111285,112960,122132,134868,141260,152237,121365,184536,187059
"Accommodated residents of Estonia","July",18458,20024,34247,32061,33181,41343,50346,52217,75920,84929,113065,126603,127853,101646,113844,126621,126144,137575,148067,163409,172426,185832,197936,195486,210261,295563,..
"Accommodated residents of Estonia","August",19452,21045,31043,28771,34669,35064,46979,54409,67803,74301,102112,128246,121313,94645,101967,114774,118595,135807,140394,153354,161567,172105,185143,201684,218741,244561,..
"Accommodated residents of Estonia","September",12218,16138,19792,20596,20811,22336,28226,30389,35765,42924,60877,67518,62273,47703,56910,61516,66368,70092,76754,77751,88078,98889,98138,105002,115945,140150,..
"Accommodated residents of Estonia","October",12842,15855,20315,19920,22099,23218,28935,32796,40217,45782,59177,66946,69669,61546,68410,71482,75696,80704,87980,92399,99938,105175,111061,116064,138978,144912,..
"Accommodated residents of Estonia","November",13121,16765,16875,18700,21365,21934,27509,30947,37499,45641,59936,68187,62277,53528,63552,65204,73175,77847,80279,83178,86310,97227,105661,115870,103117,101621,..
"Accommodated residents of Estonia","December",14496,19585,19435,22290,25422,28036,33428,36482,47444,56701,73510,81134,65836,58684,66482,72045,78478,81549,90887,96714,104022,113213,121383,120964,92945,123319,..
"Accommodated foreign visitors","Ascending total",402968,540414,602194,703670,825282,908072,1003383,1057672,1374414,1453418,1427583,1380323,1433346,1380540,1563952,1807919,1873519,1940130,1983315,1929164,2056526,2156147,2140535,2253429,676066,562783,562563
"Accommodated foreign visitors","January",13052,16192,22172,23067,30750,29248,30413,32393,43955,56339,57146,57467,57174,61979,72122,88426,94771,96701,107904,92695,98192,105879,118225,113648,128407,10420,53391
"Accommodated foreign visitors","February",16940,20926,24596,28361,31757,37227,43804,40847,52892,66088,62214,64581,71669,63475,69474,80401,85216,91423,101533,92516,95930,112870,115203,110614,120622,12517,60025
"Accommodated foreign visitors","March",18154,26902,31319,33987,42203,45387,60712,53443,63068,85240,76586,77563,82591,68607,80819,90495,107827,116392,116231,105938,120938,126451,132668,123964,45153,8725,76600
"Accommodated foreign visitors","April",28916,37524,44335,48953,64465,72881,78343,71182,93592,107312,106903,112035,100841,101897,115388,134197,143658,125511,139378,132668,140004,157424,150542,156209,1257,8702,105730
"Accommodated foreign visitors","May",46902,59470,60994,74008,81492,92487,99446,110873,134812,147010,137934,130039,151987,134158,151737,171284,179149,190380,194074,182993,190881,196853,202176,211279,5395,14841,116913
"Accommodated foreign visitors","June",46141,65064,69022,81326,96777,108993,121759,123181,159230,164560,170015,156547,165729,148178,167503,203725,205145,212869,225917,210526,223498,237580,231427,254855,41802,31690,149904
"Accommodated foreign visitors","July",55690,77160,91759,107581,123004,140062,166624,164953,230484,224569,217370,212653,221700,220824,245108,273060,279717,283700,292870,295373,315255,312349,304995,328159,136431,85153,..
"Accommodated foreign visitors","August",49957,67685,75478,83543,102860,117665,129939,140318,183378,189817,188841,174132,184704,183296,199043,228174,224821,249109,237860,240185,255675,263135,262982,286199,111846,96990,..
"Accommodated foreign visitors","September",38992,49138,52742,64530,78075,78963,86260,95097,123026,132769,128847,121429,114565,107561,128206,151385,155812,153306,156294,157520,168575,182500,178163,190462,37696,74305,..
"Accommodated foreign visitors","October",34633,45958,54064,60765,66701,68233,71333,87696,110184,110819,109882,101678,109087,112718,123745,142840,144026,148819,150254,158454,167359,165647,162719,172678,19031,82527,..
"Accommodated foreign visitors","November",30751,42150,41925,51567,58958,62624,62763,74523,92263,86893,88857,86128,91415,85874,100740,118961,122318,131669,133821,123828,129205,138823,128943,145987,15003,65643,..
"Accommodated foreign visitors","December",22840,32245,33788,45982,48240,54302,51987,63166,87530,82002,82988,86071,81884,91973,110067,124971,131059,140251,127179,136468,151014,156636,152492,159375,13423,71270,..
